logit(P[Y=2|1<=Y<=2]) logit(P[Y=3|2<=Y<=3]) logit(P[Y=4|3<=Y<=4])
-0.2368640271 -0.2368640271 -0.2368640271
 0.1095332320  0.1095332320  0.1095332320
-0.3188748383 -0.3188748383 -0.3188748383
 0.2447082308  0.2447082308  0.2447082308
-0.2842136449 -0.2842136449 -0.2842136449
 0.1359566617  0.1359566617  0.1359566617
 0.0000000000  0.0000000000  0.0000000000
 0.0000000000  0.0000000000  0.0000000000
-0.0325526753 -0.0325526753 -0.0325526753
-0.1551919610 -0.1551919610 -0.1551919610
 0.3859088454  0.3859088454  0.3859088454
 0.1466789127  0.1466789127  0.1466789127
-0.0737097167 -0.0737097167 -0.0737097167
-0.0735583208 -0.0735583208 -0.0735583208
-0.2248901926 -0.2248901926 -0.2248901926
 0.0390522344  0.0390522344  0.0390522344
-0.2231964373 -0.2231964373 -0.2231964373
-0.1243887098 -0.1243887098 -0.1243887098
-0.1986033132 -0.1986033132 -0.1986033132
-0.1092916281 -0.1092916281 -0.1092916281
-0.1780437436 -0.1780437436 -0.1780437436
 0.3468752471  0.3468752471  0.3468752471
 0.6474705605  0.6474705605  0.6474705605
 0.0000000000  0.0000000000  0.0000000000
-0.1307897064 -0.1307897064 -0.1307897064
-0.1461068160 -0.1461068160 -0.1461068160
-0.0887837269 -0.0887837269 -0.0887837269
-0.2832401985 -0.2832401985 -0.2832401985
-0.0374402032 -0.0374402032 -0.0374402032
 0.1391861307  0.1391861307  0.1391861307
 0.0000000000  0.0000000000  0.0000000000
-0.1410268148 -0.1410268148 -0.1410268148
 0.2473392411  0.2473392411  0.2473392411
 0.1280082327  0.1280082327  0.1280082327
-0.0752887201 -0.0752887201 -0.0752887201
-0.2085785389 -0.2085785389 -0.2085785389
 0.1890897878  0.1890897878  0.1890897878
-0.0075752443 -0.0075752443 -0.0075752443
-0.0842847073 -0.0842847073 -0.0842847073
-0.2100293310 -0.2100293310 -0.2100293310
 0.2343591477  0.2343591477  0.2343591477
-0.1719695192 -0.1719695192 -0.1719695192
 0.0000000000  0.0000000000  0.0000000000
 0.0000000000  0.0000000000  0.0000000000
 0.0738531365  0.0738531365  0.0738531365
 0.0000000000  0.0000000000  0.0000000000
-0.1559597041 -0.1559597041 -0.1559597041
-0.2046753572 -0.2046753572 -0.2046753572
 0.1862469849  0.1862469849  0.1862469849
 0.2888841268  0.2888841268  0.2888841268
-0.1884816110 -0.1884816110 -0.1884816110
-0.2031733209 -0.2031733209 -0.2031733209
 0.1088680586  0.1088680586  0.1088680586
 0.1207785232  0.1207785232  0.1207785232
 0.2467773083  0.2467773083  0.2467773083
-0.2009014512 -0.2009014512 -0.2009014512
 0.2104709667  0.2104709667  0.2104709667
-0.1524109495 -0.1524109495 -0.1524109495
